,Offence_group,Year,value
0,Child Sexual Offences,2009,1068.0
1,Child Sexual Offences,2010,1102.0
2,Child Sexual Offences,2011,1682.0
3,Child Sexual Offences,2012,1567.0
4,Child Sexual Offences,2013,1657.0
5,Child Sexual Offences,2014,1416.0
6,Child Sexual Offences,2015,1230.0
7,Child Sexual Offences,2016,1242.0
8,Child Sexual Offences,2017,1192.0
9,Child Sexual Offences,2018,1408.0
10,Child Sexual Offences,2019,1761.0
11,Child Sexual Offences,2020,1840.0
12,Child Sexual Offences,2021,2132.0
13,Child Sexual Offences,2022,2418.0
14,Child Sexual Offences,2023,1278.0
15,Child Sexual Offences,2024,1814.0
16,Child Sexual Offences,2025,243.0
17,"Exploitation / Commercial Sex (Prostitution, Pimping)",2009,0.0
18,"Exploitation / Commercial Sex (Prostitution, Pimping)",2010,0.0
19,"Exploitation / Commercial Sex (Prostitution, Pimping)",2011,0.0
20,"Exploitation / Commercial Sex (Prostitution, Pimping)",2012,0.0
21,"Exploitation / Commercial Sex (Prostitution, Pimping)",2013,0.0
22,"Exploitation / Commercial Sex (Prostitution, Pimping)",2014,0.0
23,"Exploitation / Commercial Sex (Prostitution, Pimping)",2015,0.0
24,"Exploitation / Commercial Sex (Prostitution, Pimping)",2016,0.0
25,"Exploitation / Commercial Sex (Prostitution, Pimping)",2017,0.0
26,"Exploitation / Commercial Sex (Prostitution, Pimping)",2018,0.0
27,"Exploitation / Commercial Sex (Prostitution, Pimping)",2019,0.0
28,"Exploitation / Commercial Sex (Prostitution, Pimping)",2020,0.0
29,"Exploitation / Commercial Sex (Prostitution, Pimping)",2021,0.0
30,"Exploitation / Commercial Sex (Prostitution, Pimping)",2022,0.0
31,"Exploitation / Commercial Sex (Prostitution, Pimping)",2023,21.0
32,"Exploitation / Commercial Sex (Prostitution, Pimping)",2024,27.0
33,"Exploitation / Commercial Sex (Prostitution, Pimping)",2025,23.0
34,Rape / Aggravated Rape,2009,660.0
35,Rape / Aggravated Rape,2010,818.0
36,Rape / Aggravated Rape,2011,988.0
37,Rape / Aggravated Rape,2012,1009.0
38,Rape / Aggravated Rape,2013,975.0
39,Rape / Aggravated Rape,2014,1009.0
40,Rape / Aggravated Rape,2015,1052.0
41,Rape / Aggravated Rape,2016,1160.0
42,Rape / Aggravated Rape,2017,1266.0
43,Rape / Aggravated Rape,2018,1414.0
44,Rape / Aggravated Rape,2019,1495.0
45,Rape / Aggravated Rape,2020,1470.0
46,Rape / Aggravated Rape,2021,1883.0
47,Rape / Aggravated Rape,2022,1702.0
48,Rape / Aggravated Rape,2023,1953.0
49,Rape / Aggravated Rape,2024,2162.0
50,Rape / Aggravated Rape,2025,484.0
51,Sexual Assault / Abuse (Non-Rape),2009,477.0
52,Sexual Assault / Abuse (Non-Rape),2010,497.0
53,Sexual Assault / Abuse (Non-Rape),2011,531.0
54,Sexual Assault / Abuse (Non-Rape),2012,935.0
55,Sexual Assault / Abuse (Non-Rape),2013,678.0
56,Sexual Assault / Abuse (Non-Rape),2014,576.0
57,Sexual Assault / Abuse (Non-Rape),2015,690.0
58,Sexual Assault / Abuse (Non-Rape),2016,925.0
59,Sexual Assault / Abuse (Non-Rape),2017,878.0
60,Sexual Assault / Abuse (Non-Rape),2018,1037.0
61,Sexual Assault / Abuse (Non-Rape),2019,1154.0
62,Sexual Assault / Abuse (Non-Rape),2020,1221.0
63,Sexual Assault / Abuse (Non-Rape),2021,1469.0
64,Sexual Assault / Abuse (Non-Rape),2022,1472.0
65,Sexual Assault / Abuse (Non-Rape),2023,2232.0
66,Sexual Assault / Abuse (Non-Rape),2024,2653.0
67,Sexual Assault / Abuse (Non-Rape),2025,665.0
68,Sexual Harassment / Public Decency / Non-Contact Offences,2009,0.0
69,Sexual Harassment / Public Decency / Non-Contact Offences,2010,0.0
70,Sexual Harassment / Public Decency / Non-Contact Offences,2011,0.0
71,Sexual Harassment / Public Decency / Non-Contact Offences,2012,0.0
72,Sexual Harassment / Public Decency / Non-Contact Offences,2013,0.0
73,Sexual Harassment / Public Decency / Non-Contact Offences,2014,0.0
74,Sexual Harassment / Public Decency / Non-Contact Offences,2015,0.0
75,Sexual Harassment / Public Decency / Non-Contact Offences,2016,0.0
76,Sexual Harassment / Public Decency / Non-Contact Offences,2017,0.0
77,Sexual Harassment / Public Decency / Non-Contact Offences,2018,0.0
78,Sexual Harassment / Public Decency / Non-Contact Offences,2019,0.0
79,Sexual Harassment / Public Decency / Non-Contact Offences,2020,0.0
80,Sexual Harassment / Public Decency / Non-Contact Offences,2021,0.0
81,Sexual Harassment / Public Decency / Non-Contact Offences,2022,0.0
82,Sexual Harassment / Public Decency / Non-Contact Offences,2023,1331.0
83,Sexual Harassment / Public Decency / Non-Contact Offences,2024,1630.0
84,Sexual Harassment / Public Decency / Non-Contact Offences,2025,333.0
