,Information,Year,Pop,Pop_thousands
0,Population 31 Dec,2008,5326314,5326.0
1,Population 31 Dec,2009,5351427,5351.0
2,Population 31 Dec,2010,5375276,5375.0
3,Population 31 Dec,2011,5401267,5401.0
4,Population 31 Dec,2012,5426674,5427.0
5,Population 31 Dec,2013,5451270,5451.0
6,Population 31 Dec,2014,5471753,5472.0
7,Population 31 Dec,2015,5487308,5487.0
8,Population 31 Dec,2016,5503297,5503.0
9,Population 31 Dec,2017,5513130,5513.0
10,Population 31 Dec,2018,5517919,5518.0
11,Population 31 Dec,2019,5525292,5525.0
12,Population 31 Dec,2020,5533793,5534.0
13,Population 31 Dec,2021,5548241,5548.0
14,Population 31 Dec,2022,5563970,5564.0
15,Population 31 Dec,2023,5603851,5604.0
16,Population 31 Dec,2024,5635971,5636.0
